BlockId, ParentId, creatorId, Arrival Time, Depth, Block-Size
328e4212a42016e9b5cfff464d7372f11d8cd37bf396957235d66e9c512b8054, c6fb68ff4d2867e1433c85160c5fb854de73a4972830dd1367e262f4c33cfa68, 13, 211.02, 22, 1296
d2956e3388e4a6ae90859e0c766554d3b0e83f6d7327997a40c1dc33fc5d8467, c6fb68ff4d2867e1433c85160c5fb854de73a4972830dd1367e262f4c33cfa68, 14, 213.25, 22, 1448
9c9d3593dc6c220485c054bf8c80e4944b41dfe5deb1923fd6c0140206507d4f, c6fb68ff4d2867e1433c85160c5fb854de73a4972830dd1367e262f4c33cfa68, 0, 214.55, 22, 1344
54561fd492d3ea0843a033089dd0e7820faa553df0ced94581bc40a4d25c5281, 328e4212a42016e9b5cfff464d7372f11d8cd37bf396957235d66e9c512b8054, 42, 217.29, 23, 1560
7830f4192fdf5394d467953966f3af84475fb5e7435b609d0be75473168dc13c, fa4c2aa777218a14c0fcb3debc29b3e00f49a83423c370d21456846a58784aa7, 11, 218.55, 21, 1320
4489a9b15ed78052909ef9f529aea38e4305f493baecbd3ddfe6fd561a1fbe2e, 54561fd492d3ea0843a033089dd0e7820faa553df0ced94581bc40a4d25c5281, 18, 236.61, 24, 1520
0094ce4c330fd80bfa5c2225e5938aaa96c7b97f0190d6195e47721fb74553f8, 4489a9b15ed78052909ef9f529aea38e4305f493baecbd3ddfe6fd561a1fbe2e, 41, 241.85, 25, 1656
4083c7d51f616a827b247c9c0ea010ecca0f8af07fdadc359251a953074c520b, 0094ce4c330fd80bfa5c2225e5938aaa96c7b97f0190d6195e47721fb74553f8, 25, 253.90, 26, 1520
63fdab9873dbf3f5ad6ab0087fdf316144c394f0475a46d55412b6ec68b6a42b, 0094ce4c330fd80bfa5c2225e5938aaa96c7b97f0190d6195e47721fb74553f8, 26, 256.35, 26, 1528
b9eae9e162341fe466be85767378d5f3be9a2a124331d77f6ad40676f178f212, 0094ce4c330fd80bfa5c2225e5938aaa96c7b97f0190d6195e47721fb74553f8, 41, 256.84, 26, 1536
